ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35911677;2017425942;9;C;E;E;D;E;C;C;C;C;C;C;C;C;D;D;D;C
35911677;2017085157;9;C;E;E;D;E;C;C;C;C;C;C;C;C;D;D;D;C
35911677;2017085158;9;C;E;E;D;E;C;C;C;C;C;C;C;C;D;D;D;C
35911677;2017425943;9;C;E;E;D;E;C;C;C;C;C;C;C;C;D;D;D;C
35924611;2017227095;9;C;D;D;D;E;C;C;C;C;C;C;C;C;C;C;C;B
35049815;2017361870;9;C;D;E;E;E;C;D;C;C;C;C;C;C;C;C;D;D
35049815;2017368923;9;B;A;A;D;C;C;C;B;C;D;C;C;C;C;C;C;B
35049815;2017368923;9;B;A;C;C;C;C;C;B;B;C;B;A;B;C;C;C;B
35049815;2017382985;9;B;A;A;D;C;C;C;B;C;D;C;C;C;C;C;C;B
35049815;2017382985;9;B;A;C;C;C;C;C;B;B;C;B;A;B;C;C;C;B
35049815;2017361871;9;B;A;A;D;C;C;C;B;C;D;C;C;C;C;C;C;B
35049815;2017361871;9;B;A;C;C;C;C;C;B;B;C;B;A;B;C;C;C;B
35022330;2017446453;9;C;E;E;E;C;C;D;C;C;B;B;C;C;D;D;D;C
35022330;2017155216;9;D;D;E;E;D;C;D;D;C;D;D;C;C;C;D;C;C
35022330;2017219139;9;D;D;E;E;D;C;D;D;C;D;D;C;C;C;D;C;C
35022330;2017268721;9;D;D;E;E;D;C;D;D;C;D;D;C;C;C;D;C;C
35022330;2017098451;9;D;D;C;D;C;B;D;C;C;C;C;B;C;D;C;C;C
35022330;2017098452;9;E;D;D;D;D;C;D;C;C;D;D;C;C;D;D;D;C
